nome_propriedade,tipo,endereco,cidade,estado,cep,condado,lat,lon,status,avaliacao_media,total_avaliacoes,nome_proprietario,tipo_proprietario,endereco_correspondencia,cidade_correspondencia,estado_correspondencia,cep_correspondencia
Dunewood Campground,campground,"1 Golf Wood Rd, Chesterton, IN 46304, USA",Chesterton,IN,46304,Porter County,41.6720808,-86.9849727,OPERATIONAL,4.5,557,Dunewood Campground,business,"1 Golf Wood Rd, Chesterton, IN 46304, USA",Chesterton,IN,46304
Forest Oaks Mobile Home Park,rv_park,"1 Canterbury Cir, Chesterton, IN 46304, USA",Chesterton,IN,46304,Porter County,41.5654034,-87.0973451,OPERATIONAL,3.6,111,Forest Oaks Mobile Home Park,business,"1 Canterbury Cir, Chesterton, IN 46304, USA",Chesterton,IN,46304
Indiana Dunes State Park Campground Showers and Bathrooms,campground,"Electric Campground, 1600 N 25 E, Chesterton, IN 46304, USA",Chesterton,IN,46304,Porter County,41.6576460,-87.0553794,OPERATIONAL,4.5,157,Indiana Dunes State Park Campground Showers and Bathrooms,business,"Electric Campground, 1600 N 25 E, Chesterton, IN 46304, USA",Chesterton,IN,46304
Sand Creek Campground,campground,"1000N N 350 E, Chesterton, IN 46304, USA",Chesterton,IN,46304,Porter County,41.5797301,-87.0022825,OPERATIONAL,3.8,336,Sand Creek Campground,business,"1000N N 350 E, Chesterton, IN 46304, USA",Chesterton,IN,46304
Lake Lincoln Electric Campground,campground,"Lake Lincoln Campground, Chrisney, IN 47611, USA",Chrisney,IN,47611,Spencer County,38.1058394,-86.9922522,OPERATIONAL,4.6,36,Lake Lincoln Electric Campground,business,"Lake Lincoln Campground, Chrisney, IN 47611, USA",Chrisney,IN,47611
Blue Lake Campground,campground,"5453 N Blue Lake Rd, Churubusco, IN 46723, USA",Churubusco,IN,46723,Whitley County,41.2438576,-85.3509213,OPERATIONAL,3.6,205,Blue Lake Campground,business,"5453 N Blue Lake Rd, Churubusco, IN 46723, USA",Churubusco,IN,46723
Blue Ridge Estates,rv_park,"6560 N 650 E, Churubusco, IN 46723, USA",Churubusco,IN,46723,Whitley County,41.2597086,-85.3658554,OPERATIONAL,3.5,28,Blue Ridge Estates,business,"6560 N 650 E, Churubusco, IN 46723, USA",Churubusco,IN,46723
Davis Lakeside Campground,rv_park,"7209 E Harrold Rd, Churubusco, IN 46723, USA",Churubusco,IN,46723,Whitley County,41.2374303,-85.3544489,OPERATIONAL,4.5,61,Davis Lakeside Campground,business,"7209 E Harrold Rd, Churubusco, IN 46723, USA",Churubusco,IN,46723
Edgewater Crossing Manufactured Home Community,rv_park,"1020 Seaport Dr, Cicero, IN 46034, USA",Cicero,IN,46034,Hamilton County,40.1055610,-86.0318501,OPERATIONAL,4.1,21,Edgewater Crossing Manufactured Home Community,business,"1020 Seaport Dr, Cicero, IN 46034, USA",Cicero,IN,46034
White River Campground,rv_park,"11299 E 234th St, Cicero, IN 46034, USA",Cicero,IN,46034,Hamilton County,40.1285505,-85.9680467,OPERATIONAL,4.6,557,White River Campground,business,"11299 E 234th St, Cicero, IN 46034, USA",Cicero,IN,46034
Louisville North Campground,rv_park,"900 Marriott Dr, Clarksville, IN 47129, USA",Clarksville,IN,47129,Clark County,38.2790723,-85.7543825,OPERATIONAL,3.7,497,Louisville North Campground,business,"900 Marriott Dr, Clarksville, IN 47129, USA",Clarksville,IN,47129
Silver Creek RV Park,rv_park,"2411 Addmore Ln, Clarksville, IN 47129, USA",Clarksville,IN,47129,Clark County,38.3418635,-85.7615932,OPERATIONAL,4.1,204,Silver Creek RV Park,business,"2411 Addmore Ln, Clarksville, IN 47129, USA",Clarksville,IN,47129
Silver Lakes Pointe Mobile Home Park,rv_park,"5935 US-31, Clarksville, IN 47129, USA",Clarksville,IN,47129,Clark County,38.3505151,-85.7503288,OPERATIONAL,3.6,195,Silver Lakes Pointe Mobile Home Park,business,"5935 US-31, Clarksville, IN 47129, USA",Clarksville,IN,47129
Wellington Green,rv_park,"1350 Progress Way, Clarksville, IN 47129, USA",Clarksville,IN,47129,Clark County,38.3347283,-85.7620098,OPERATIONAL,3.9,246,Wellington Green,business,"1350 Progress Way, Clarksville, IN 47129, USA",Clarksville,IN,47129
Wabash Park Campground,campground,"304 E County Rd 650 S, Clay City, IN 47841, USA",Clay City,IN,47841,Clay County,39.2906880,-87.1045368,OPERATIONAL,4.9,66,Wabash Park Campground,business,"304 E County Rd 650 S, Clay City, IN 47841, USA",Clay City,IN,47841
Clermont Lions Club,rv_park,"3201 Tansel Rd, Clermont, IN 46234, USA",Clermont,IN,46234,Marion County,39.8111205,-86.3199324,OPERATIONAL,4.6,135,Clermont Lions Club,business,"3201 Tansel Rd, Clermont, IN 46234, USA",Clermont,IN,46234
Thousand Trails Horseshoe Lakes,rv_park,"12962 Horseshoe Ln, Clinton, IN 47842, USA",Clinton,IN,47842,Vermillion County,39.6953244,-87.5054699,OPERATIONAL,3.7,78,Thousand Trails Horseshoe Lakes,business,"12962 Horseshoe Ln, Clinton, IN 47842, USA",Clinton,IN,47842
Blackhawk 2 Campground,campground,"2120 W County Rd 1050 S, Cloverdale, IN 46120, USA",Cloverdale,IN,46120,Putnam County,39.5070090,-86.8900500,OPERATIONAL,4.9,15,Blackhawk 2 Campground,business,"2120 W County Rd 1050 S, Cloverdale, IN 46120, USA",Cloverdale,IN,46120
Cloverdale / Indianapolis West KOA Journey,campground,"2789 E County Rd 800 S, Cloverdale, IN 46120, USA",Cloverdale,IN,46120,Putnam County,39.5457426,-86.7989488,OPERATIONAL,3.7,188,Cloverdale / Indianapolis West KOA Journey,business,"2789 E County Rd 800 S, Cloverdale, IN 46120, USA",Cloverdale,IN,46120
Dogwood Springs Campground,campground,"8105 IN-243, Cloverdale, IN 46120, USA",Cloverdale,IN,46120,Putnam County,39.5441189,-86.8722962,OPERATIONAL,4.4,22,Dogwood Springs Campground,business,"8105 IN-243, Cloverdale, IN 46120, USA",Cloverdale,IN,46120
Lieber State Recreation Area,,"1317 W Lieber Rd, Cloverdale, IN 46120, USA",Cloverdale,IN,46120,,39.4777000,-86.8799462,OPERATIONAL,4.6,1490,Lieber State Recreation Area,business,"1317 W Lieber Rd, Cloverdale, IN 46120, USA",Cloverdale,IN,46120
Misty Morning Campground,campground,"12376 Campground Rd, Cloverdale, IN 46120, USA",Cloverdale,IN,46120,Owen County,39.4700880,-86.8627466,OPERATIONAL,4.0,92,Misty Morning Campground,business,"12376 Campground Rd, Cloverdale, IN 46120, USA",Cloverdale,IN,46120
Poplar Grove Campground,campground,"Cloverdale, IN 46120, USA",Cloverdale,IN,46120,Putnam County,39.4840785,-86.8805945,OPERATIONAL,4.8,11,Poplar Grove Campground,business,"Cloverdale, IN 46120, USA",Cloverdale,IN,46120
Sunny Acres Campground,campground,"Cloverdale, IN 46120, USA",Cloverdale,IN,46120,Putnam County,39.4839220,-86.8852823,OPERATIONAL,4.1,9,Sunny Acres Campground,business,"Cloverdale, IN 46120, USA",Cloverdale,IN,46120
Broadview Lake Campground,campground,"4850 S Broadview Rd, Colfax, IN 46035, USA",Colfax,IN,46035,Clinton County,40.2162010,-86.6636580,OPERATIONAL,4.2,115,Broadview Lake Campground,business,"4850 S Broadview Rd, Colfax, IN 46035, USA",Colfax,IN,46035
Countryside Mobile Home Park,rv_park,"1407 northlanecourt, Columbia City, IN 46725, USA",Columbia City,IN,46725,Whitley County,41.1701671,-85.5063017,OPERATIONAL,3.6,32,Countryside Mobile Home Park,business,"1407 northlanecourt, Columbia City, IN 46725, USA",Columbia City,IN,46725
Miami Village Mobile Home Park,rv_park,"4614 E Old Trail Rd #48, Columbia City, IN 46725, USA",Columbia City,IN,46725,Whitley County,41.1631140,-85.4043660,OPERATIONAL,2.5,119,Miami Village Mobile Home Park,business,"4614 E Old Trail Rd #48, Columbia City, IN 46725, USA",Columbia City,IN,46725
Candlelight Village,,"3671 Candlelight Dr, Columbus, IN 47203, USA",Columbus,IN,47203,Bartholomew County,39.2405631,-85.8918907,OPERATIONAL,4.1,246,Candlelight Village,business,"3671 Candlelight Dr, Columbus, IN 47203, USA",Columbus,IN,47203
CERA Sports Park & Campground,rv_park,"3989 S 525 E, Columbus, IN 47203, USA",Columbus,IN,47203,Bartholomew County,39.1624599,-85.8115518,OPERATIONAL,4.4,857,CERA Sports Park & Campground,business,"3989 S 525 E, Columbus, IN 47203, USA",Columbus,IN,47203
Ceraland Campground,campground,"3989 S 525 E, Columbus, IN 47203, USA",Columbus,IN,47203,Bartholomew County,39.1624440,-85.8139510,OPERATIONAL,4.2,65,Ceraland Campground,business,"3989 S 525 E, Columbus, IN 47203, USA",Columbus,IN,47203
Garden City Mobile Home Community,rv_park,"611 Garden St, Columbus, IN 47201, USA",Columbus,IN,47201,Bartholomew County,39.1854150,-85.9308989,OPERATIONAL,3.9,15,Garden City Mobile Home Community,business,"611 Garden St, Columbus, IN 47201, USA",Columbus,IN,47201
Heritage Heights,rv_park,"2895 Henry Lakes Blvd S, Columbus, IN 47201, USA",Columbus,IN,47201,Bartholomew County,39.2901475,-85.9571201,OPERATIONAL,3.5,486,Heritage Heights,business,"2895 Henry Lakes Blvd S, Columbus, IN 47201, USA",Columbus,IN,47201
Homestead Mobile Home Park,rv_park,"2667 Milmar Ct, Columbus, IN 47203, USA",Columbus,IN,47203,Bartholomew County,39.2435302,-85.8942565,OPERATIONAL,3.9,112,Homestead Mobile Home Park,business,"2667 Milmar Ct, Columbus, IN 47203, USA",Columbus,IN,47203
Moose Park Campground,campground,"286 County Rd 300 E, Columbus, IN 47203, USA",Columbus,IN,47203,Bartholomew County,39.2009802,-85.8585506,OPERATIONAL,4.0,21,Moose Park Campground,business,"286 County Rd 300 E, Columbus, IN 47203, USA",Columbus,IN,47203
Tannehill Pointe Mobile Home Park,rv_park,"3871 Mill Pl, Columbus, IN 47201, USA",Columbus,IN,47201,Bartholomew County,39.2976432,-85.9699234,OPERATIONAL,3.7,118,Tannehill Pointe Mobile Home Park,business,"3871 Mill Pl, Columbus, IN 47201, USA",Columbus,IN,47201
Woods-N-Waters Kampground,rv_park,"8855 S 300 W, Columbus, IN 47201, USA",Columbus,IN,47201,Bartholomew County,39.1202937,-85.9664304,OPERATIONAL,4.2,260,Woods-N-Waters Kampground,business,"8855 S 300 W, Columbus, IN 47201, USA",Columbus,IN,47201
Bear Creek Camp,campground,"7417 County Rd 720 S, Connersville, IN 47331, USA",Connersville,IN,47331,Fayette County,39.5396948,-85.1446954,OPERATIONAL,4.8,46,Bear Creek Camp,business,"7417 County Rd 720 S, Connersville, IN 47331, USA",Connersville,IN,47331
Elephant Hill Mobile Home Park,rv_park,"1000 W 21st St # 93, Connersville, IN 47331, USA",Connersville,IN,47331,Fayette County,39.6578788,-85.1492309,OPERATIONAL,3.2,155,Elephant Hill Mobile Home Park,business,"1000 W 21st St # 93, Connersville, IN 47331, USA",Connersville,IN,47331
Robinson's Whitewater River Campground,campground,"1614 IN-121, Connersville, IN 47331, USA",Connersville,IN,47331,Fayette County,39.6187025,-85.1470177,OPERATIONAL,4.3,290,Robinson's Whitewater River Campground,business,"1614 IN-121, Connersville, IN 47331, USA",Connersville,IN,47331
Grand Trails RV Park,campground,"205 S Mulberry St, Corydon, IN 47112, USA",Corydon,IN,47112,Harrison County,38.2088806,-86.1245685,OPERATIONAL,3.8,88,Grand Trails RV Park,business,"205 S Mulberry St, Corydon, IN 47112, USA",Corydon,IN,47112
O'Bannon Woods State Park,campground,"7234 Old Forest Rd, Corydon, IN 47112, USA",Corydon,IN,47112,Harrison County,38.1865152,-86.2963131,OPERATIONAL,4.6,1021,O'Bannon Woods State Park,business,"7234 Old Forest Rd, Corydon, IN 47112, USA",Corydon,IN,47112
Seven Oaks Pointe Mobile Home Park,rv_park,"1055 Old Forest Rd NW, Corydon, IN 47112, USA",Corydon,IN,47112,Harrison County,38.2187120,-86.1459430,OPERATIONAL,3.7,11,Seven Oaks Pointe Mobile Home Park,business,"1055 Old Forest Rd NW, Corydon, IN 47112, USA",Corydon,IN,47112
Covington City Park,campground,"1 City Park Dr, Covington, IN 47932, USA",Covington,IN,47932,Fountain County,40.1479889,-87.3980343,OPERATIONAL,4.7,381,Covington City Park,business,"1 City Park Dr, Covington, IN 47932, USA",Covington,IN,47932
Cottonwood Village Mobile Home,rv_park,"671 N 225 W, Crawfordsville, IN 47933, USA",Crawfordsville,IN,47933,Montgomery County,40.0499877,-86.9493331,OPERATIONAL,3.4,74,Cottonwood Village Mobile Home,business,"671 N 225 W, Crawfordsville, IN 47933, USA",Crawfordsville,IN,47933
Crawfordsville KOA Journey,rv_park,"1600 Lafayette Rd, Crawfordsville, IN 47933, USA",Crawfordsville,IN,47933,Montgomery County,40.0618659,-86.9071083,OPERATIONAL,4.1,468,Crawfordsville KOA Journey,business,"1600 Lafayette Rd, Crawfordsville, IN 47933, USA",Crawfordsville,IN,47933
Imperial Estates,rv_park,"101 Mercedes Dr, Crawfordsville, IN 47933, USA",Crawfordsville,IN,47933,Montgomery County,40.0228980,-86.8908980,OPERATIONAL,3.5,95,Imperial Estates,business,"101 Mercedes Dr, Crawfordsville, IN 47933, USA",Crawfordsville,IN,47933
Sugar Creek Campground & Canoe Rentals,campground,"841 W 83 N, Crawfordsville, IN 47933, USA",Crawfordsville,IN,47933,Montgomery County,40.0512620,-86.9182590,OPERATIONAL,4.5,525,Sugar Creek Campground & Canoe Rentals,business,"841 W 83 N, Crawfordsville, IN 47933, USA",Crawfordsville,IN,47933
Sugar Creek Mobile Home Park,rv_park,"1100 Lafayette Rd, Crawfordsville, IN 47933, USA",Crawfordsville,IN,47933,Montgomery County,40.0547561,-86.9031372,OPERATIONAL,3.7,15,Sugar Creek Mobile Home Park,business,"1100 Lafayette Rd, Crawfordsville, IN 47933, USA",Crawfordsville,IN,47933
Island Grove Manufactured Home Community,rv_park,"9151 N 1200 W, De Motte, IN 46310, USA",De Motte,IN,46310,Jasper County,41.1488660,-87.2739345,OPERATIONAL,3.9,90,Island Grove Manufactured Home Community,business,"9151 N 1200 W, De Motte, IN 46310, USA",De Motte,IN,46310
Lake Holiday,campground,"11780 IN-10, De Motte, IN 46310, USA",De Motte,IN,46310,Jasper County,41.1504418,-87.2700666,OPERATIONAL,3.9,309,Lake Holiday,business,"11780 IN-10, De Motte, IN 46310, USA",De Motte,IN,46310
Love's RV Stop,rv_park,"11207 West Dr #10, De Motte, IN 46310, USA",De Motte,IN,46310,Jasper County,41.1440680,-87.2575409,OPERATIONAL,4.4,88,Love's RV Stop,business,"11207 West Dr #10, De Motte, IN 46310, USA",De Motte,IN,46310
Neighbors of Demotte Trails,rv_park,"306 Mallard Dr SE, De Motte, IN 46310, USA",De Motte,IN,46310,Jasper County,41.1897560,-87.1822640,OPERATIONAL,5.0,3,Neighbors of Demotte Trails,business,"306 Mallard Dr SE, De Motte, IN 46310, USA",De Motte,IN,46310
Ponderosa Sun Club,rv_park,"10600 N 400 E, De Motte, IN 46310, USA",De Motte,IN,46310,Newton County,41.1541050,-87.3170690,OPERATIONAL,4.7,157,Ponderosa Sun Club,business,"10600 N 400 E, De Motte, IN 46310, USA",De Motte,IN,46310
Wheelock Lake Campground,campground,"3622 E Co Rd 200 S, Dillsboro, IN 47018, USA",Dillsboro,IN,47018,Ripley County,39.0439643,-85.1918563,OPERATIONAL,3.8,70,Wheelock Lake Campground,business,"3622 E Co Rd 200 S, Dillsboro, IN 47018, USA",Dillsboro,IN,47018
Greene Sullivan State Forest,campground,"2551 IN-159, Dugger, IN 47848, USA",Dugger,IN,47848,Sullivan County,39.0448610,-87.2591572,OPERATIONAL,4.3,37,Greene Sullivan State Forest,business,"2551 IN-159, Dugger, IN 47848, USA",Dugger,IN,47848
Section 600 Camping,campground,"040423200008000015, Earl Park, IN 47942, USA",Earl Park,IN,47942,Benton County,40.6900439,-87.4158132,OPERATIONAL,5.0,4,Section 600 Camping,business,"040423200008000015, Earl Park, IN 47942, USA",Earl Park,IN,47942
Eaton Mobile Home Community,rv_park,"Lot 43, 600 S Fort Wayne Ave, Eaton, IN 47338, USA",Eaton,IN,47338,Delaware County,40.3366059,-85.3460502,OPERATIONAL,3.5,32,Eaton Mobile Home Community,business,"Lot 43, 600 S Fort Wayne Ave, Eaton, IN 47338, USA",Eaton,IN,47338
Patoka Lake Fisherman's Campground,campground,"Eckerty, IN 47116, USA",Eckerty,IN,47116,Dubois County,38.4046863,-86.6832068,OPERATIONAL,4.7,30,Patoka Lake Fisherman's Campground,business,"Eckerty, IN 47116, USA",Eckerty,IN,47116
Patoka Lake Modern Campground,campground,"Unnamed Road, Eckerty, IN 47116, USA",Eckerty,IN,47116,Orange County,38.4055129,-86.6535181,OPERATIONAL,4.8,189,Patoka Lake Modern Campground,business,"Unnamed Road, Eckerty, IN 47116, USA",Eckerty,IN,47116
Whitaker Campground Camp Atterbury,campground,"3008 Old Hospital Rd, Edinburgh, IN 46124, USA",Edinburgh,IN,46124,Johnson County,39.3548805,-86.0264106,OPERATIONAL,4.5,148,Whitaker Campground Camp Atterbury,business,"3008 Old Hospital Rd, Edinburgh, IN 46124, USA",Edinburgh,IN,46124
Miles Landing Campground,rv_park,"10311 New Harmony Rd, Elberfeld, IN 47613, USA",Elberfeld,IN,47613,Warrick County,38.0974518,-87.4361632,OPERATIONAL,4.6,221,Miles Landing Campground,business,"10311 New Harmony Rd, Elberfeld, IN 47613, USA",Elberfeld,IN,47613
Eco Lake Park,,"9300 State Hwy 7, Elizabethtown, IN 47232, USA",Elizabethtown,IN,47232,Jennings County,39.1225696,-85.7568955,OPERATIONAL,4.3,67,Eco Lake Park,business,"9300 State Hwy 7, Elizabethtown, IN 47232, USA",Elizabethtown,IN,47232
Gassaway Lake Campground,campground,"9355 N Private Rd 875 W, Elizabethtown, IN 47232, USA",Elizabethtown,IN,47232,Jennings County,39.1195081,-85.7769595,OPERATIONAL,4.8,37,Gassaway Lake Campground,business,"9355 N Private Rd 875 W, Elizabethtown, IN 47232, USA",Elizabethtown,IN,47232
Elkhart Campground,campground,"25608 Co Rd 4, Elkhart, IN 46514, USA",Elkhart,IN,46514,Elkhart County,41.7380596,-85.9588991,OPERATIONAL,4.4,724,Elkhart Campground,business,"25608 Co Rd 4, Elkhart, IN 46514, USA",Elkhart,IN,46514
Elkhart Mobile Home Park,rv_park,"29200 Co Rd 20, Elkhart, IN 46517, USA",Elkhart,IN,46517,Elkhart County,41.6585327,-86.0263794,OPERATIONAL,3.9,57,Elkhart Mobile Home Park,business,"29200 Co Rd 20, Elkhart, IN 46517, USA",Elkhart,IN,46517
Parke Place Estates,rv_park,"2231 Osolo Rd, Elkhart, IN 46514, USA",Elkhart,IN,46514,Elkhart County,41.7147743,-85.9501987,OPERATIONAL,3.8,263,Parke Place Estates,business,"2231 Osolo Rd, Elkhart, IN 46514, USA",Elkhart,IN,46514
Southwood Manufactured Home Community,rv_park,"1500 IN-37, Elwood, IN 46036, USA",Elwood,IN,46036,Madison County,40.2635681,-85.8203348,OPERATIONAL,3.5,63,Southwood Manufactured Home Community,business,"1500 IN-37, Elwood, IN 46036, USA",Elwood,IN,46036
Sycamore Springs Park,rv_park,"717 W Tunnel Hill Rd, English, IN 47118, USA",English,IN,47118,Crawford County,38.3143990,-86.4802870,OPERATIONAL,4.8,361,Sycamore Springs Park,business,"717 W Tunnel Hill Rd, English, IN 47118, USA",English,IN,47118
Etna Green Mobile Home Park,rv_park,"208 S Main St, Etna Green, IN 46524, USA",Etna Green,IN,46524,Kosciusko County,41.2754898,-86.0526046,OPERATIONAL,3.4,47,Etna Green Mobile Home Park,business,"208 S Main St, Etna Green, IN 46524, USA",Etna Green,IN,46524
Burdette Park,,"5301 Nurrenbern Rd, Evansville, IN 47712, USA",Evansville,IN,47712,Vanderburgh County,37.9426920,-87.6402103,OPERATIONAL,4.5,1866,Burdette Park,business,"5301 Nurrenbern Rd, Evansville, IN 47712, USA",Evansville,IN,47712
Carolina Pointe Mobile Home Park,rv_park,"2850 Carolina Ave, Evansville, IN 47710, USA",Evansville,IN,47710,Vanderburgh County,38.0058248,-87.5852604,OPERATIONAL,3.4,100,Carolina Pointe Mobile Home Park,business,"2850 Carolina Ave, Evansville, IN 47710, USA",Evansville,IN,47710
Grandin pointe,rv_park,"1905 Evanston Dr, Evansville, IN 47720, USA",Evansville,IN,47720,Vanderburgh County,38.0321473,-87.5911992,OPERATIONAL,5.0,1,Grandin pointe,business,"1905 Evanston Dr, Evansville, IN 47720, USA",Evansville,IN,47720
Grandin Pointe Mobile Home Park,rv_park,"5901 N St Joseph Ave, Evansville, IN 47720, USA",Evansville,IN,47720,Vanderburgh County,38.0333690,-87.5984726,OPERATIONAL,3.1,270,Grandin Pointe Mobile Home Park,business,"5901 N St Joseph Ave, Evansville, IN 47720, USA",Evansville,IN,47720
Madison Pointe Mobile Home Park,rv_park,"4400 Cox Ave, Evansville, IN 47712, USA",Evansville,IN,47712,Vanderburgh County,37.9751895,-87.6292714,OPERATIONAL,4.1,8,Madison Pointe Mobile Home Park,business,"4400 Cox Ave, Evansville, IN 47712, USA",Evansville,IN,47712
Mill Creek Pointe Mobile Home Park,rv_park,"5320 Big 10 Blvd, Evansville, IN 47720, USA",Evansville,IN,47720,Vanderburgh County,38.0283735,-87.5908566,OPERATIONAL,3.9,92,Mill Creek Pointe Mobile Home Park,business,"5320 Big 10 Blvd, Evansville, IN 47720, USA",Evansville,IN,47720
Pleasant Ridge,,"4901 Pleasant Ridge Dr, Evansville, IN 47711, USA",Evansville,IN,47711,Vanderburgh County,38.0221674,-87.4960534,OPERATIONAL,3.0,22,Pleasant Ridge,business,"4901 Pleasant Ridge Dr, Evansville, IN 47711, USA",Evansville,IN,47711
Rocky Falls Campground & RV Park,campground,"11901 Deer Run Dr, Evansville, IN 47712, USA",Evansville,IN,47712,Posey County,37.9512886,-87.7015453,OPERATIONAL,3.7,135,Rocky Falls Campground & RV Park,business,"11901 Deer Run Dr, Evansville, IN 47712, USA",Evansville,IN,47712
Town & Country MHC,rv_park,"7301 Everglades Dr, Evansville, IN 47720, USA",Evansville,IN,47720,Vanderburgh County,38.0425033,-87.6761245,OPERATIONAL,3.8,45,Town & Country MHC,business,"7301 Everglades Dr, Evansville, IN 47720, USA",Evansville,IN,47720
Trailer Park Oakhill,rv_park,"528 Underhill Ct, Evansville, IN 47711, USA",Evansville,IN,47711,Vanderburgh County,37.9826894,-87.5349579,OPERATIONAL,2.6,22,Trailer Park Oakhill,business,"528 Underhill Ct, Evansville, IN 47711, USA",Evansville,IN,47711
Twin Lakes Manufactured Home Community,rv_park,"216 Deer Run, Evansville, IN 47712, USA",Evansville,IN,47712,Posey County,37.9246647,-87.7040622,OPERATIONAL,4.0,224,Twin Lakes Manufactured Home Community,business,"216 Deer Run, Evansville, IN 47712, USA",Evansville,IN,47712
Vanderburgh 4-H Campground,campground,"201 E Boonville-New Harmony Rd, Evansville, IN 47725, USA",Evansville,IN,47725,Vanderburgh County,38.0923813,-87.5627628,OPERATIONAL,4.7,3,Vanderburgh 4-H Campground,business,"201 E Boonville-New Harmony Rd, Evansville, IN 47725, USA",Evansville,IN,47725
Walker Pointe Mobile Home Park,rv_park,"2500 Nebraska Ave, Evansville, IN 47720, USA",Evansville,IN,47720,Vanderburgh County,38.0130474,-87.6022278,OPERATIONAL,4.4,5,Walker Pointe Mobile Home Park,business,"2500 Nebraska Ave, Evansville, IN 47720, USA",Evansville,IN,47720
Waterford Pointe Mobile Home Park,rv_park,"2448 Saw Grass Dr, Evansville, IN 47715, USA",Evansville,IN,47715,Vanderburgh County,37.9439918,-87.4724637,OPERATIONAL,4.2,154,Waterford Pointe Mobile Home Park,business,"2448 Saw Grass Dr, Evansville, IN 47715, USA",Evansville,IN,47715
Oak Lake RV Resort,rv_park,"5310 E 900 N, Fair Oaks, IN 47943, USA",Fair Oaks,IN,47943,Newton County,41.1300397,-87.2893970,OPERATIONAL,4.5,381,Oak Lake RV Resort,business,"5310 E 900 N, Fair Oaks, IN 47943, USA",Fair Oaks,IN,47943
Creekside Mobile home park,rv_park,"6480 N London Rd, Fairland, IN 46126, USA",Fairland,IN,46126,Shelby County,39.6162935,-85.9214139,OPERATIONAL,3.6,9,Creekside Mobile home park,business,"6480 N London Rd, Fairland, IN 46126, USA",Fairland,IN,46126
Countyline Mobile Home Park,rv_park,"311 Lockerbie Pl, Fairmount, IN 46928, USA",Fairmount,IN,46928,Grant County,40.3807045,-85.6539935,OPERATIONAL,2.7,50,Countyline Mobile Home Park,business,"311 Lockerbie Pl, Fairmount, IN 46928, USA",Fairmount,IN,46928
Fair Oaks Estates Mobile Home & RV Park,rv_park,"OFFICE, 1400 N Elm St Lot 37, Fairmount, IN 46928, USA",Fairmount,IN,46928,Grant County,40.4283997,-85.6442106,OPERATIONAL,2.4,17,Fair Oaks Estates Mobile Home & RV Park,business,"OFFICE, 1400 N Elm St Lot 37, Fairmount, IN 46928, USA",Fairmount,IN,46928
Hidden Lake Resort,rv_park,"11460 Strawtown Pike, Fairmount, IN 46928, USA",Fairmount,IN,46928,Grant County,40.3876360,-85.7770180,OPERATIONAL,4.5,142,Hidden Lake Resort,business,"11460 Strawtown Pike, Fairmount, IN 46928, USA",Fairmount,IN,46928
Cedar Manor,rv_park,"633 W 9th St, Ferdinand, IN 47532, USA",Ferdinand,IN,47532,Dubois County,38.2258460,-86.8687940,OPERATIONAL,3.7,7,Cedar Manor,business,"633 W 9th St, Ferdinand, IN 47532, USA",Ferdinand,IN,47532
Quarry Lake Campground,campground,"736 S Co Rd 825 E, Fillmore, IN 46128, USA",Fillmore,IN,46128,Putnam County,39.6491775,-86.7027088,OPERATIONAL,4.5,107,Quarry Lake Campground,business,"736 S Co Rd 825 E, Fillmore, IN 46128, USA",Fillmore,IN,46128
Bachelor Runn Campground LLC,campground,"625 IN-75, Flora, IN 46929, USA",Flora,IN,46929,Carroll County,40.5564321,-86.5291978,OPERATIONAL,4.1,52,Bachelor Runn Campground LLC,business,"625 IN-75, Flora, IN 46929, USA",Flora,IN,46929
Damvue River Camp,campground,"12106 IN-156, Florence, IN 47020, USA",Florence,IN,47020,Switzerland County,38.7799180,-84.9871400,OPERATIONAL,4.5,24,Damvue River Camp,business,"12106 IN-156, Florence, IN 47020, USA",Florence,IN,47020
Follow the River RV Resort,rv_park,"12273 Markland Town Rd, Florence, IN 47020, USA",Florence,IN,47020,Switzerland County,38.7830276,-84.9815110,OPERATIONAL,4.6,257,Follow the River RV Resort,business,"12273 Markland Town Rd, Florence, IN 47020, USA",Florence,IN,47020
Apple Valley Manufactured Home Community,rv_park,"10326 Old Leo Rd, Fort Wayne, IN 46825, USA",Fort Wayne,IN,46825,Allen County,41.1768790,-85.0732315,OPERATIONAL,3.7,47,Apple Valley Manufactured Home Community,business,"10326 Old Leo Rd, Fort Wayne, IN 46825, USA",Fort Wayne,IN,46825
Carrington Pointe,rv_park,"7211 Carrington Blvd, Fort Wayne, IN 46818, USA",Fort Wayne,IN,46818,Allen County,41.1447025,-85.1998417,OPERATIONAL,3.5,301,Carrington Pointe,business,"7211 Carrington Blvd, Fort Wayne, IN 46818, USA",Fort Wayne,IN,46818
Cedarwood Trails Manufactured Home Community,rv_park,"6008 Moeller Rd, Fort Wayne, IN 46806, USA",Fort Wayne,IN,46806,Allen County,41.0517968,-85.0616141,OPERATIONAL,3.5,201,Cedarwood Trails Manufactured Home Community,business,"6008 Moeller Rd, Fort Wayne, IN 46806, USA",Fort Wayne,IN,46806
Country Court Estates,rv_park,"10744 US-27 Lot 101, Fort Wayne, IN 46816, USA",Fort Wayne,IN,46816,Allen County,40.9856222,-85.0906014,OPERATIONAL,3.3,95,Country Court Estates,business,"10744 US-27 Lot 101, Fort Wayne, IN 46816, USA",Fort Wayne,IN,46816
