nome_propriedade,tipo,endereco,cidade,estado,cep,condado,lat,lon,status,avaliacao_media,total_avaliacoes,telefone,website
Misty Morning Campground,campground,"12376 Campground Rd, Cloverdale, IN 46120, USA",Cloverdale,IN,46120,Owen County,39.4700880,-86.8627466,OPERATIONAL,4.0,92,(765) 795-5671,http://mmcampground.com/
Poplar Grove Campground,campground,"Cloverdale, IN 46120, USA",Cloverdale,IN,46120,Putnam County,39.4840785,-86.8805945,OPERATIONAL,4.8,11,,https://www.in.gov/dnr/state-parks/parks-lakes/cagles-mill-lake-lieber-and-cataract-falls-sra/
Sunny Acres Campground,campground,"Cloverdale, IN 46120, USA",Cloverdale,IN,46120,Putnam County,39.4839220,-86.8852823,OPERATIONAL,4.1,9,,
Broadview Lake Campground,campground,"4850 S Broadview Rd, Colfax, IN 46035, USA",Colfax,IN,46035,Clinton County,40.2162010,-86.6636580,OPERATIONAL,4.2,115,(765) 324-2622,https://www.broadviewcampground.com/
Countryside Mobile Home Park,rv_park,"1407 northlanecourt, Columbia City, IN 46725, USA",Columbia City,IN,46725,Whitley County,41.1701671,-85.5063017,OPERATIONAL,3.6,32,(260) 244-3003,
Miami Village Mobile Home Park,rv_park,"4614 E Old Trail Rd #48, Columbia City, IN 46725, USA",Columbia City,IN,46725,Whitley County,41.1631140,-85.4043660,OPERATIONAL,2.5,119,(260) 244-6447,https://m.mhvillage.com/Communities/MobileHomePark.php?key=12462
Candlelight Village,,"3671 Candlelight Dr, Columbus, IN 47203, USA",Columbus,IN,47203,Bartholomew County,39.2405631,-85.8918907,OPERATIONAL,4.1,246,(812) 372-1932,https://yescommunities.com/community/candlelight-village
CERA Sports Park & Campground,rv_park,"3989 S 525 E, Columbus, IN 47203, USA",Columbus,IN,47203,Bartholomew County,39.1624599,-85.8115518,OPERATIONAL,4.4,857,(812) 377-5849,http://www.ceraland.org/
Ceraland Campground,campground,"3989 S 525 E, Columbus, IN 47203, USA",Columbus,IN,47203,Bartholomew County,39.1624440,-85.8139510,OPERATIONAL,4.2,65,(812) 377-5849,https://www.ceraland.org/
Garden City Mobile Home Community,rv_park,"611 Garden St, Columbus, IN 47201, USA",Columbus,IN,47201,Bartholomew County,39.1854150,-85.9308989,OPERATIONAL,3.9,15,(812) 657-4624,
Heritage Heights,rv_park,"2895 Henry Lakes Blvd S, Columbus, IN 47201, USA",Columbus,IN,47201,Bartholomew County,39.2901475,-85.9571201,OPERATIONAL,3.5,486,(812) 526-4126,http://www.continentalcommunities.com/heritage-heights/
Homestead Mobile Home Park,rv_park,"2667 Milmar Ct, Columbus, IN 47203, USA",Columbus,IN,47203,Bartholomew County,39.2435302,-85.8942565,OPERATIONAL,3.9,112,(812) 372-5544,https://www.facebook.com/pages/Homestead-Mobile-Home-Park/120059064677467
Moose Park Campground,campground,"286 County Rd 300 E, Columbus, IN 47203, USA",Columbus,IN,47203,Bartholomew County,39.2009802,-85.8585506,OPERATIONAL,4.0,21,(812) 372-1257,https://rvcampgroundhq.com/campground/indiana/moose-park-campground/
Tannehill Pointe Mobile Home Park,rv_park,"3871 Mill Pl, Columbus, IN 47201, USA",Columbus,IN,47201,Bartholomew County,39.2976432,-85.9699234,OPERATIONAL,3.7,118,(812) 526-6064,https://yougotithomes.com/community/tannehill-pointe/
Woods-N-Waters Kampground,rv_park,"8855 S 300 W, Columbus, IN 47201, USA",Columbus,IN,47201,Bartholomew County,39.1202937,-85.9664304,OPERATIONAL,4.2,260,(812) 342-1619,https://www.woods-n-waters.com/
Bear Creek Camp,campground,"7417 County Rd 720 S, Connersville, IN 47331, USA",Connersville,IN,47331,Fayette County,39.5396948,-85.1446954,OPERATIONAL,4.8,46,(513) 317-3941,https://camping.churchofjesuschrist.org/
Elephant Hill Mobile Home Park,rv_park,"1000 W 21st St # 93, Connersville, IN 47331, USA",Connersville,IN,47331,Fayette County,39.6578788,-85.1492309,OPERATIONAL,3.2,155,(765) 377-7329,
Robinson's Whitewater River Campground,campground,"1614 IN-121, Connersville, IN 47331, USA",Connersville,IN,47331,Fayette County,39.6187025,-85.1470177,OPERATIONAL,4.3,290,(765) 825-4885,
Grand Trails RV Park,campground,"205 S Mulberry St, Corydon, IN 47112, USA",Corydon,IN,47112,Harrison County,38.2088806,-86.1245685,OPERATIONAL,3.8,88,(812) 738-9077,
O'Bannon Woods State Park,campground,"7234 Old Forest Rd, Corydon, IN 47112, USA",Corydon,IN,47112,Harrison County,38.1865152,-86.2963131,OPERATIONAL,4.6,1021,(812) 738-8232,http://on.in.gov/obannonwoodssp
Seven Oaks Pointe Mobile Home Park,rv_park,"1055 Old Forest Rd NW, Corydon, IN 47112, USA",Corydon,IN,47112,Harrison County,38.2187120,-86.1459430,OPERATIONAL,3.7,11,(812) 366-3110,https://yougotithomes.com/seven-oaks-pointe/
Covington City Park,campground,"1 City Park Dr, Covington, IN 47932, USA",Covington,IN,47932,Fountain County,40.1479889,-87.3980343,OPERATIONAL,4.7,381,(765) 793-3423,http://facebook.com/covingtoncitypark
Cottonwood Village Mobile Home,rv_park,"671 N 225 W, Crawfordsville, IN 47933, USA",Crawfordsville,IN,47933,Montgomery County,40.0499877,-86.9493331,OPERATIONAL,3.4,74,,
Crawfordsville KOA Journey,rv_park,"1600 Lafayette Rd, Crawfordsville, IN 47933, USA",Crawfordsville,IN,47933,Montgomery County,40.0618659,-86.9071083,OPERATIONAL,4.1,468,(800) 562-4191,https://koa.com/campgrounds/crawfordsville/?utm_source=google&utm_medium=organic&utm_campaign=gbp
Imperial Estates,rv_park,"101 Mercedes Dr, Crawfordsville, IN 47933, USA",Crawfordsville,IN,47933,Montgomery County,40.0228980,-86.8908980,OPERATIONAL,3.5,95,(765) 362-0519,http://www.parkbridgehomes.com/communities/imperial-estates
Sugar Creek Campground & Canoe Rentals,campground,"841 W 83 N, Crawfordsville, IN 47933, USA",Crawfordsville,IN,47933,Montgomery County,40.0512620,-86.9182590,OPERATIONAL,4.5,525,(765) 362-5528,http://www.sugarcreekcampground.com/
Sugar Creek Mobile Home Park,rv_park,"1100 Lafayette Rd, Crawfordsville, IN 47933, USA",Crawfordsville,IN,47933,Montgomery County,40.0547561,-86.9031372,OPERATIONAL,3.7,15,,
Island Grove Manufactured Home Community,rv_park,"9151 N 1200 W, De Motte, IN 46310, USA",De Motte,IN,46310,Jasper County,41.1488660,-87.2739345,OPERATIONAL,3.9,90,(219) 345-4426,https://www.bayshorehomesales.com/communities/islandGrove?utm_campaign=WebsiteURL&utm_medium=organic&utm_source=GMB
Lake Holiday,campground,"11780 IN-10, De Motte, IN 46310, USA",De Motte,IN,46310,Jasper County,41.1504418,-87.2700666,OPERATIONAL,3.9,309,(219) 345-3132,http://www.lakeholidaycamp.com
Love's RV Stop,rv_park,"11207 West Dr #10, De Motte, IN 46310, USA",De Motte,IN,46310,Jasper County,41.1440680,-87.2575409,OPERATIONAL,4.4,88,(219) 987-2202,https://www.camplife.com/campground/Love%2527s+RV+Stop-Demotte+IN+394?utm_source=google&utm_medium=organic&utm_campaign=maps
Neighbors of Demotte Trails,rv_park,"306 Mallard Dr SE, De Motte, IN 46310, USA",De Motte,IN,46310,Jasper County,41.1897560,-87.1822640,OPERATIONAL,5.0,3,(219) 228-8222,
Ponderosa Sun Club,rv_park,"10600 N 400 E, De Motte, IN 46310, USA",De Motte,IN,46310,Newton County,41.1541050,-87.3170690,OPERATIONAL,4.7,157,(219) 345-2268,http://www.ponderosasunclub.com/
Wheelock Lake Campground,campground,"3622 E Co Rd 200 S, Dillsboro, IN 47018, USA",Dillsboro,IN,47018,Ripley County,39.0439643,-85.1918563,OPERATIONAL,3.8,70,(812) 487-3855,https://www.campwheelock.com/
Greene Sullivan State Forest,campground,"2551 IN-159, Dugger, IN 47848, USA",Dugger,IN,47848,Sullivan County,39.0448610,-87.2591572,OPERATIONAL,4.3,37,(812) 648-2810,http://www.in.gov/dnr/forestry/4821.htm
Section 600 Camping,campground,"040423200008000015, Earl Park, IN 47942, USA",Earl Park,IN,47942,Benton County,40.6900439,-87.4158132,OPERATIONAL,5.0,4,,
Eaton Mobile Home Community,rv_park,"Lot 43, 600 S Fort Wayne Ave, Eaton, IN 47338, USA",Eaton,IN,47338,Delaware County,40.3366059,-85.3460502,OPERATIONAL,3.5,32,(765) 399-5004,
Patoka Lake Fisherman's Campground,campground,"Eckerty, IN 47116, USA",Eckerty,IN,47116,Dubois County,38.4046863,-86.6832068,OPERATIONAL,4.7,30,(812) 338-5589,https://www.in.gov/dnr/state-parks/parks-lakes/patoka-lake/
Patoka Lake Modern Campground,campground,"Unnamed Road, Eckerty, IN 47116, USA",Eckerty,IN,47116,Orange County,38.4055129,-86.6535181,OPERATIONAL,4.8,189,(812) 685-2464,https://www.in.gov/dnr/state-parks/parks-lakes/patoka-lake/
Whitaker Campground Camp Atterbury,campground,"3008 Old Hospital Rd, Edinburgh, IN 46124, USA",Edinburgh,IN,46124,Johnson County,39.3548805,-86.0264106,OPERATIONAL,4.5,148,(812) 526-1128,https://www.atterburymuscatatuck.in.ng.mil/Home/MWR.aspx
Miles Landing Campground,rv_park,"10311 New Harmony Rd, Elberfeld, IN 47613, USA",Elberfeld,IN,47613,Warrick County,38.0974518,-87.4361632,OPERATIONAL,4.6,221,(812) 457-6447,http://mileslanding.online/
Eco Lake Park,,"9300 State Hwy 7, Elizabethtown, IN 47232, USA",Elizabethtown,IN,47232,Jennings County,39.1225696,-85.7568955,OPERATIONAL,4.3,67,(812) 346-2953,https://jcparksrec.com/amenities.php
Gassaway Lake Campground,campground,"9355 N Private Rd 875 W, Elizabethtown, IN 47232, USA",Elizabethtown,IN,47232,Jennings County,39.1195081,-85.7769595,OPERATIONAL,4.8,37,(812) 579-6305,
Elkhart Campground,campground,"25608 Co Rd 4, Elkhart, IN 46514, USA",Elkhart,IN,46514,Elkhart County,41.7380596,-85.9588991,OPERATIONAL,4.4,724,(574) 264-2914,https://elkhartcampground.com/
Elkhart Mobile Home Park,rv_park,"29200 Co Rd 20, Elkhart, IN 46517, USA",Elkhart,IN,46517,Elkhart County,41.6585327,-86.0263794,OPERATIONAL,3.9,57,(574) 295-7625,http://elkhart-park.poi.place/
Parke Place Estates,rv_park,"2231 Osolo Rd, Elkhart, IN 46514, USA",Elkhart,IN,46514,Elkhart County,41.7147743,-85.9501987,OPERATIONAL,3.8,263,(574) 266-0825,https://www.umh.com/community/parke-place/?utm_source=GMBlisting&utm_medium=organic
Southwood Manufactured Home Community,rv_park,"1500 IN-37, Elwood, IN 46036, USA",Elwood,IN,46036,Madison County,40.2635681,-85.8203348,OPERATIONAL,3.5,63,(765) 552-9520,
Sycamore Springs Park,rv_park,"717 W Tunnel Hill Rd, English, IN 47118, USA",English,IN,47118,Crawford County,38.3143990,-86.4802870,OPERATIONAL,4.8,361,(812) 338-3846,https://sycamorespringspark.com/
Etna Green Mobile Home Park,rv_park,"208 S Main St, Etna Green, IN 46524, USA",Etna Green,IN,46524,Kosciusko County,41.2754898,-86.0526046,OPERATIONAL,3.4,47,(574) 635-6080,https://knightscommunities.com/etna-green-indiana-etna-green-mobile-home-park/
Burdette Park,,"5301 Nurrenbern Rd, Evansville, IN 47712, USA",Evansville,IN,47712,Vanderburgh County,37.9426920,-87.6402103,OPERATIONAL,4.5,1866,(812) 435-5602,http://www.burdettepark.org/
Carolina Pointe Mobile Home Park,rv_park,"2850 Carolina Ave, Evansville, IN 47710, USA",Evansville,IN,47710,Vanderburgh County,38.0058248,-87.5852604,OPERATIONAL,3.4,100,(812) 422-3076,https://yougotithomes.com/carolina-pointe/
Grandin pointe,rv_park,"1905 Evanston Dr, Evansville, IN 47720, USA",Evansville,IN,47720,Vanderburgh County,38.0321473,-87.5911992,OPERATIONAL,5.0,1,,
Grandin Pointe Mobile Home Park,rv_park,"5901 N St Joseph Ave, Evansville, IN 47720, USA",Evansville,IN,47720,Vanderburgh County,38.0333690,-87.5984726,OPERATIONAL,3.1,270,(812) 423-2487,https://yougotithomes.com/community/grandin-pointe/
Madison Pointe Mobile Home Park,rv_park,"4400 Cox Ave, Evansville, IN 47712, USA",Evansville,IN,47712,Vanderburgh County,37.9751895,-87.6292714,OPERATIONAL,4.1,8,(812) 424-1424,https://yougotithomes.com/community/madison-pointe/
Mill Creek Pointe Mobile Home Park,rv_park,"5320 Big 10 Blvd, Evansville, IN 47720, USA",Evansville,IN,47720,Vanderburgh County,38.0283735,-87.5908566,OPERATIONAL,3.9,92,(812) 421-1024,https://yougotithomes.com/community/mill-creek-pointe/
Pleasant Ridge,,"4901 Pleasant Ridge Dr, Evansville, IN 47711, USA",Evansville,IN,47711,Vanderburgh County,38.0221674,-87.4960534,OPERATIONAL,3.0,22,(812) 909-1121,https://yescommunities.com/community/Pleasant-Ridge
Rocky Falls Campground & RV Park,campground,"11901 Deer Run Dr, Evansville, IN 47712, USA",Evansville,IN,47712,Posey County,37.9512886,-87.7015453,OPERATIONAL,3.7,135,(812) 746-7907,http://rockyfallsrvpark.com/
Town & Country MHC,rv_park,"7301 Everglades Dr, Evansville, IN 47720, USA",Evansville,IN,47720,Vanderburgh County,38.0425033,-87.6761245,OPERATIONAL,3.8,45,(812) 213-4857,https://www.mhccapitalllc.com/community/town-country/
Trailer Park Oakhill,rv_park,"528 Underhill Ct, Evansville, IN 47711, USA",Evansville,IN,47711,Vanderburgh County,37.9826894,-87.5349579,OPERATIONAL,2.6,22,,
Twin Lakes Manufactured Home Community,rv_park,"216 Deer Run, Evansville, IN 47712, USA",Evansville,IN,47712,Posey County,37.9246647,-87.7040622,OPERATIONAL,4.0,224,(812) 985-5775,https://www.bayshorehomesales.com/communities/twinLakesIN?utm_campaign=WebsiteURL&utm_medium=organic&utm_source=GMB
Vanderburgh 4-H Campground,campground,"201 E Boonville-New Harmony Rd, Evansville, IN 47725, USA",Evansville,IN,47725,Vanderburgh County,38.0923813,-87.5627628,OPERATIONAL,4.7,3,(812) 867-6217,https://vanderburgh4hcenter.com/?page_id=25
Walker Pointe Mobile Home Park,rv_park,"2500 Nebraska Ave, Evansville, IN 47720, USA",Evansville,IN,47720,Vanderburgh County,38.0130474,-87.6022278,OPERATIONAL,4.4,5,(812) 424-1424,https://yougotithomes.com/community/walker-pointe/
Waterford Pointe Mobile Home Park,rv_park,"2448 Saw Grass Dr, Evansville, IN 47715, USA",Evansville,IN,47715,Vanderburgh County,37.9439918,-87.4724637,OPERATIONAL,4.2,154,(812) 477-3655,https://yougotithomes.com/community/waterford-pointe/
Oak Lake RV Resort,rv_park,"5310 E 900 N, Fair Oaks, IN 47943, USA",Fair Oaks,IN,47943,Newton County,41.1300397,-87.2893970,OPERATIONAL,4.5,381,(219) 306-8223,https://www.oaklakervresort.com/
Creekside Mobile home park,rv_park,"6480 N London Rd, Fairland, IN 46126, USA",Fairland,IN,46126,Shelby County,39.6162935,-85.9214139,OPERATIONAL,3.6,9,(317) 418-6967,
Countyline Mobile Home Park,rv_park,"311 Lockerbie Pl, Fairmount, IN 46928, USA",Fairmount,IN,46928,Grant County,40.3807045,-85.6539935,OPERATIONAL,2.7,50,(765) 536-9647,http://www.countylinemhp.com/
Fair Oaks Estates Mobile Home & RV Park,rv_park,"OFFICE, 1400 N Elm St Lot 37, Fairmount, IN 46928, USA",Fairmount,IN,46928,Grant County,40.4283997,-85.6442106,OPERATIONAL,2.4,17,(765) 948-3788,https://fairoaksmobilerv.com/
Hidden Lake Resort,rv_park,"11460 Strawtown Pike, Fairmount, IN 46928, USA",Fairmount,IN,46928,Grant County,40.3876360,-85.7770180,OPERATIONAL,4.5,142,(765) 948-4862,http://www.hiddenlakesresort.net/
Cedar Manor,rv_park,"633 W 9th St, Ferdinand, IN 47532, USA",Ferdinand,IN,47532,Dubois County,38.2258460,-86.8687940,OPERATIONAL,3.7,7,(812) 848-2800,http://dhpmanagement.com/
Quarry Lake Campground,campground,"736 S Co Rd 825 E, Fillmore, IN 46128, USA",Fillmore,IN,46128,Putnam County,39.6491775,-86.7027088,OPERATIONAL,4.5,107,(765) 386-7332,
Bachelor Runn Campground LLC,campground,"625 IN-75, Flora, IN 46929, USA",Flora,IN,46929,Carroll County,40.5564321,-86.5291978,OPERATIONAL,4.1,52,(765) 413-9000,http://bachelorrunncampgroundllc.godaddysites.com/
Damvue River Camp,campground,"12106 IN-156, Florence, IN 47020, USA",Florence,IN,47020,Switzerland County,38.7799180,-84.9871400,OPERATIONAL,4.5,24,(937) 903-2793,
Follow the River RV Resort,rv_park,"12273 Markland Town Rd, Florence, IN 47020, USA",Florence,IN,47020,Switzerland County,38.7830276,-84.9815110,OPERATIONAL,4.6,257,(812) 427-3330,http://www.followtheriverrvresort.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=15834249130798482107
Apple Valley Manufactured Home Community,rv_park,"10326 Old Leo Rd, Fort Wayne, IN 46825, USA",Fort Wayne,IN,46825,Allen County,41.1768790,-85.0732315,OPERATIONAL,3.7,47,(260) 483-4372,http://www.applevalleymhc.com/
Carrington Pointe,rv_park,"7211 Carrington Blvd, Fort Wayne, IN 46818, USA",Fort Wayne,IN,46818,Allen County,41.1447025,-85.1998417,OPERATIONAL,3.5,301,(260) 497-0031,https://www.suncommunities.com/indiana/carrington-pointe?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing
Cedarwood Trails Manufactured Home Community,rv_park,"6008 Moeller Rd, Fort Wayne, IN 46806, USA",Fort Wayne,IN,46806,Allen County,41.0517968,-85.0616141,OPERATIONAL,3.5,201,(260) 749-9724,https://www.bayshorehomesales.com/communities/cedarwoodtrailsin?utm_campaign=WebsiteURL&utm_medium=organic&utm_source=GMB
Country Court Estates,rv_park,"10744 US-27 Lot 101, Fort Wayne, IN 46816, USA",Fort Wayne,IN,46816,Allen County,40.9856222,-85.0906014,OPERATIONAL,3.3,95,(260) 639-3223,
Countryside Village Fort Wayne,,"2320 W Washington Center Rd, Fort Wayne, IN 46818, USA",Fort Wayne,IN,46818,Allen County,41.1349963,-85.1719415,OPERATIONAL,3.1,215,(260) 489-3437,https://www.yescommunities.com/community/countryside-village-fort-wayne
Dupont Estates,rv_park,"10002 Wheatfield Ln, Fort Wayne, IN 46825, USA",Fort Wayne,IN,46825,Allen County,41.1774816,-85.0870978,OPERATIONAL,3.2,74,(260) 484-1971,https://www.dupontestates.com/
Edgewood Estates,rv_park,"5330 Goshen Rd, Fort Wayne, IN 46818, USA",Fort Wayne,IN,46818,Allen County,41.1432489,-85.2101926,OPERATIONAL,3.3,184,(260) 489-4451,http://www.edgewoodrental.com/
Fort Wayne,rv_park,"2220 Dunkelberg Rd Lot 914, Fort Wayne, IN 46819, USA",Fort Wayne,IN,46819,Allen County,41.0025891,-85.1611475,OPERATIONAL,3.1,33,(260) 209-0337,https://rootsmg.com/community/fort_wayne_fort_wayne_in
Glenbrook Mobile Home Park,rv_park,"3939 N Clinton St, Fort Wayne, IN 46805, USA",Fort Wayne,IN,46805,Allen County,41.1133950,-85.1333850,OPERATIONAL,3.9,69,(260) 484-3033,https://www.glenbrookmhc.com/
Glenridge Manor Mobile Home Park,rv_park,"7227 Moeller Rd, Fort Wayne, IN 46806, USA",Fort Wayne,IN,46806,Allen County,41.0587085,-85.0461192,OPERATIONAL,3.9,113,(260) 493-4243,https://www.glenridgemanor.com/
Johnny Appleseed Park,,"1500 N Harry Baals Dr, Fort Wayne, IN 46805, USA",Fort Wayne,IN,46805,Allen County,41.1119989,-85.1192379,OPERATIONAL,4.5,1192,(260) 427-6720,http://www.fortwayneparks.org/
McArthur Estates,rv_park,"3637 McArthur Dr, Fort Wayne, IN 46809, USA",Fort Wayne,IN,46809,Allen County,41.0078636,-85.1814657,OPERATIONAL,3.7,27,(260) 747-6558,
Oak Creek,rv_park,"9721 Springvale Dr, Fort Wayne, IN 46825, USA",Fort Wayne,IN,46825,Allen County,41.1735923,-85.0887380,OPERATIONAL,3.2,105,(260) 483-3248,
Ridgebrook Estates,rv_park,"2737 W Washington Center Rd, Fort Wayne, IN 46818, USA",Fort Wayne,IN,46818,Allen County,41.1295461,-85.1785389,OPERATIONAL,3.4,479,(260) 233-6980,https://mysunrisecommunity.com/community/ridgebrook-hills/
River Camp Fort Wayne,campground,"8607 Winchester Rd, Fort Wayne, IN 46819, USA",Fort Wayne,IN,46819,Allen County,41.0077420,-85.1377600,OPERATIONAL,4.7,7,,http://rivercampfortwayne.com/
Southern Hills Mobile Home Park,rv_park,"5415 Southern Ct Lot 30, Fort Wayne, IN 46806, USA",Fort Wayne,IN,46806,Allen County,41.0349612,-85.1252556,OPERATIONAL,4.2,25,(260) 484-3033,
Southtown Mobile Home Community,rv_park,"7555 Decatur Rd, Fort Wayne, IN 46816, USA",Fort Wayne,IN,46816,Allen County,41.0160173,-85.1095834,OPERATIONAL,3.4,61,(260) 333-9996,
St. Marys Mobile Home Park,rv_park,"944 Elmer Ave, Fort Wayne, IN 46808, USA",Fort Wayne,IN,46808,Allen County,41.1013496,-85.1561090,OPERATIONAL,3.5,13,,
Stonecrest II Manufactured Home Community,rv_park,"4831 Bade Dr, Fort Wayne, IN 46816, USA",Fort Wayne,IN,46816,Allen County,41.0209573,-85.0756863,OPERATIONAL,3.4,101,(260) 447-3611,https://www.bayshorehomesales.com/communities/stonecrestIIin?utm_campaign=WebsiteURL&utm_medium=organic&utm_source=GMB
Village of North Oak,rv_park,"6000 N Oak Blvd, Fort Wayne, IN 46818, USA",Fort Wayne,IN,46818,Allen County,41.1351321,-85.1855669,OPERATIONAL,3.9,110,(260) 489-9402,http://village-oak.edan.io/
Waynedale Mobile Homes Inc,rv_park,"7515 Bluffton Rd, Fort Wayne, IN 46809, USA",Fort Wayne,IN,46809,Allen County,41.0123557,-85.1688172,OPERATIONAL,3.2,53,(260) 747-2727,
Wells Street Mobile Home Park,rv_park,"3126 N Wells St Lot 1, Fort Wayne, IN 46808, USA",Fort Wayne,IN,46808,Allen County,41.1046170,-85.1461540,OPERATIONAL,2.6,128,(260) 482-1014,
Indiana District UPCI Campground,campground,"1900 E Broadway St, Fortville, IN 46040, USA",Fortville,IN,46040,Madison County,39.9500487,-85.8143628,OPERATIONAL,4.9,168,(317) 485-5532,https://www.indianacamp.org/
Acorn Oaks RV Park,campground,"16614 IN-114, Francesville, IN 47946, USA",Francesville,IN,47946,Pulaski County,40.9355710,-86.9239310,OPERATIONAL,4.7,172,(219) 335-2850,http://www.acornoaksrvpark.com/
Camp Cullom,campground,"6815 W Co Rd 200 N, Frankfort, IN 46041, USA",Frankfort,IN,46041,Clinton County,40.3137649,-86.6334471,OPERATIONAL,4.7,200,(765) 296-2753,https://www.campcullom.org/
The Stewart Manor Mobile Home Park,rv_park,"1558 Rossville Ave, Frankfort, IN 46041, USA",Frankfort,IN,46041,Clinton County,40.2944730,-86.5238950,OPERATIONAL,3.6,54,(765) 659-3028,
Countryview Estates Mobile Home Community,rv_park,"1199 Hospital Rd #52, Franklin, IN 46131, USA",Franklin,IN,46131,Johnson County,39.4761797,-86.0805272,OPERATIONAL,3.0,252,(317) 736-8625,
Pennington Mobile Home Park,rv_park,"3090 N Morton St Lot #67, Franklin, IN 46131, USA",Franklin,IN,46131,Johnson County,39.5184435,-86.0792468,OPERATIONAL,4.2,109,(317) 736-7677,https://www.mobilehome.net/mobile-home-parks/51619-pennington-mobile-home-park-in-franklin-in
Camp Kikthawenund,campground,"7651 W 500 N, Frankton, IN 46044, USA",Frankton,IN,46044,Madison County,40.1781733,-85.8166825,OPERATIONAL,4.3,29,(765) 552-7400,https://campreservation.com/160/Camps/199
Maple Hills Mobile Home Park,rv_park,"210 S Woodworth Ave # 128, Frankton, IN 46044, USA",Frankton,IN,46044,Madison County,40.2241600,-85.7636450,OPERATIONAL,3.1,40,(765) 754-7766,http://maple-home-park-frankton.jany.io/
"Old Mill Canoe Rental - Blue River Canoe, Kayak, Camp",campground,"5 US-150, Fredericksburg, IN 47120, USA",Fredericksburg,IN,47120,Washington County,38.4338791,-86.1921723,OPERATIONAL,4.9,282,(812) 472-3140,http://www.oldmillcanoerental.com/
Jellystone Park™ Barton Lake,rv_park,"140 Ln 201 Barton Lake, Fremont, IN 46737, USA",Fremont,IN,46737,Steuben County,41.7514059,-85.0501750,OPERATIONAL,4.4,2264,(260) 833-1114,https://jellystonebartonlake.com/
Pokagon State Park Campground Gate,campground,"Unnamed Road, Fremont, IN 46737, USA",Fremont,IN,46737,Steuben County,41.7109645,-85.0314650,OPERATIONAL,4.6,136,(260) 833-2012,https://indianastateparks.reserveamerica.com/camping/pokagon-state-park/r/campgroundDetails.do?contractCode=IN&parkId=570038
Painter Creek Camp Resort,rv_park,"7380 W County Rd 700 S, French Lick, IN 47432, USA",French Lick,IN,47432,Orange County,38.4542504,-86.5966496,OPERATIONAL,4.4,64,(812) 936-7545,http://paintercreekcamp.com/
Patoka Pines RV Campground and Boat Storage,campground,"7570 S Old State Rd 145, French Lick, IN 47432, USA",French Lick,IN,47432,Orange County,38.4457967,-86.6039067,OPERATIONAL,4.8,35,(812) 203-2725,http://patokapines.com/
Sleeping Bear Retreat,campground,"2773 S County Rd 1000 W, French Lick, IN 47432, USA",French Lick,IN,47432,Orange County,38.5124619,-86.6450822,OPERATIONAL,4.3,46,(812) 865-6898,http://www.sleepingbearretreat.com/
Woodland Hills Campground,campground,"8128 W County Rd 750 S, French Lick, IN 47432, USA",French Lick,IN,47432,Orange County,38.4469962,-86.6093813,OPERATIONAL,4.1,13,(812) 797-4290,
Hudsons Old Mill Campground and Flea Market,campground,"7249 1st St, Friendship, IN 47021, USA",Friendship,IN,47021,Ripley County,38.9693914,-85.1486251,OPERATIONAL,4.6,110,(812) 667-5322,https://hudsonsoldmill.com/
Deer Creek Village,rv_park,"401 S Deer Creek St, Galveston, IN 46932, USA",Galveston,IN,46932,Cass County,40.5740651,-86.1834759,OPERATIONAL,4.5,80,(765) 233-5034,http://www.deercreekvillagemhc.com/
Indian Springs Campground & Splash Springs Aqua Park,rv_park,"981 Co Rd 64, Garrett, IN 46738, USA",Garrett,IN,46738,DeKalb County,41.2960438,-85.1475560,OPERATIONAL,3.4,314,(260) 357-5572,http://www.indianspringsoutdoors.com/
North Pointe Crossing,rv_park,"1 E Edgewater Dr N, Garrett, IN 46738, USA",Garrett,IN,46738,DeKalb County,41.3644690,-85.1335090,OPERATIONAL,3.2,85,(260) 465-1000,
Jordan Mobile Home Park,rv_park,"3650 W Ridge Rd, Gary, IN 46408, USA",Gary,IN,46408,Lake County,41.5505550,-87.3820498,OPERATIONAL,3.8,64,(219) 885-9654,https://knightscommunities.com/gary-indiana-jordan-mobile-home-park/
Miller's Junction Manufactured Home Community,rv_park,"6632 Melton Rd, Gary, IN 46403, USA",Gary,IN,46403,Lake County,41.5963612,-87.2583085,OPERATIONAL,3.9,55,(219) 318-1449,https://millersjunctionmhc.tenantcloud.com/
Marbrook Campground,campground,"6690 E 600 S, Gas City, IN 46933, USA",Gas City,IN,46933,Grant County,40.4575000,-85.5500000,OPERATIONAL,4.0,209,(765) 674-4383,http://www.marbrookcampground.com/
Amishville USA,campground,"844 E 900 S, Geneva, IN 46740, USA",Geneva,IN,46740,Adams County,40.6129413,-84.9192991,OPERATIONAL,4.3,246,(260) 589-3536,
Brookside Manor,rv_park,"61108 Old County Rd 17, Goshen, IN 46526, USA",Goshen,IN,46526,Elkhart County,41.6035166,-85.8839742,OPERATIONAL,3.2,228,(574) 875-6315,https://www.suncommunities.com/indiana/brookside-manor?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing
Creekside Estates,rv_park,"909 N Indiana Ave, Goshen, IN 46528, USA",Goshen,IN,46528,Elkhart County,41.5976785,-85.8496374,OPERATIONAL,4.1,23,(574) 534-1787,
